STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
69,2018-08,983.85,118,154,284,1.305084745762712,1.844155844155844,3.464260563380282
69,2018-09,950.4,106,132,264,1.2452830188679245,2.0,3.6
69,2018-10,844.4,96,123,246,1.28125,2.0,3.432520325203252
69,2018-11,1130.2,123,160,320,1.3008130081300813,2.0,3.5318750000000003
69,2018-12,942.6,106,132,264,1.2452830188679245,2.0,3.5704545454545453
69,2019-01,849.2,102,124,250,1.2156862745098038,2.0161290322580645,3.3968000000000003
69,2019-02,914.8,107,128,260,1.1962616822429906,2.03125,3.5184615384615383
69,2019-03,932.4,104,132,268,1.2692307692307692,2.0303030303030303,3.47910447761194
69,2019-04,815.8,96,112,226,1.1666666666666667,2.017857142857143,3.609734513274336
69,2019-05,913.8,105,138,271,1.3142857142857143,1.963768115942029,3.3719557195571954
69,2019-06,1054.8,112,148,296,1.3214285714285714,2.0,3.5635135135135134
70,2018-07,920.2,111,137,274,1.2342342342342343,2.0,3.358394160583942
70,2018-08,860.8000000000001,95,130,247,1.368421052631579,1.9,3.48502024291498
70,2018-09,888.2,101,127,258,1.2574257425742574,2.031496062992126,3.4426356589147287
70,2018-10,789.6,94,114,232,1.2127659574468086,2.0350877192982457,3.403448275862069
70,2018-11,787.2,84,109,220,1.2976190476190477,2.018348623853211,3.5781818181818186
70,2018-12,699.6,83,100,202,1.2048192771084338,2.02,3.4633663366336633
70,2019-01,891.8,95,130,262,1.368421052631579,2.0153846153846153,3.4038167938931294
70,2019-02,710.6,89,102,204,1.146067415730337,2.0,3.4833333333333334
70,2019-03,763.2,84,102,208,1.2142857142857142,2.0392156862745097,3.6692307692307695
70,2019-04,790.4,89,110,222,1.2359550561797752,2.018181818181818,3.5603603603603604
70,2019-05,718.4,87,105,204,1.206896551724138,1.9428571428571428,3.5215686274509803
70,2019-06,663.0,78,98,200,1.2564102564102564,2.0408163265306123,3.315
71,2018-07,1098.6,114,154,312,1.3508771929824561,2.0259740259740258,3.521153846153846
71,2018-08,972.1,107,143,273,1.3364485981308412,1.9090909090909092,3.560805860805861
71,2018-09,879.8,99,124,250,1.2525252525252526,2.0161290322580645,3.5191999999999997
71,2018-10,861.2,100,125,252,1.25,2.016,3.4174603174603178
71,2018-11,960.2,97,134,272,1.3814432989690721,2.029850746268657,3.5301470588235295
71,2018-12,950.6,107,139,278,1.2990654205607477,2.0,3.419424460431655
71,2019-01,904.0,103,133,268,1.2912621359223302,2.0150375939849625,3.373134328358209
71,2019-02,1041.0,113,149,300,1.3185840707964602,2.0134228187919465,3.47
71,2019-03,1080.0,118,147,296,1.2457627118644068,2.0136054421768708,3.6486486486486487
71,2019-04,980.0,115,141,284,1.2260869565217392,2.0141843971631204,3.4507042253521125
71,2019-05,900.5,111,137,263,1.2342342342342343,1.9197080291970803,3.423954372623574
71,2019-06,922.8,104,134,272,1.2884615384615385,2.029850746268657,3.3926470588235293
72,2018-07,1323.6,118,145,294,1.228813559322034,2.027586206896552,4.50204081632653
72,2018-08,1243.7,120,148,283,1.2333333333333334,1.912162162162162,4.39469964664311
72,2018-09,1172.6,111,135,271,1.2162162162162162,2.0074074074074075,4.326937269372693
72,2018-10,1224.6,117,138,278,1.1794871794871795,2.0144927536231885,4.405035971223021
72,2018-11,1089.6,106,121,244,1.1415094339622642,2.0165289256198347,4.465573770491803
72,2018-12,1169.0,116,133,268,1.146551724137931,2.0150375939849625,4.361940298507463
72,2019-01,1295.4,113,146,296,1.2920353982300885,2.0273972602739727,4.376351351351351
72,2019-02,1120.0,113,130,260,1.1504424778761062,2.0,4.3076923076923075
72,2019-03,1253.4,125,140,280,1.12,2.0,4.476428571428571
72,2019-04,1025.4,102,116,236,1.1372549019607843,2.0344827586206895,4.344915254237288
72,2019-05,1071.9,105,128,243,1.2190476190476192,1.8984375,4.411111111111111
72,2019-06,1215.2,119,136,272,1.1428571428571428,2.0,4.4676470588235295
73,2018-07,361.5,53,56,103,1.0566037735849056,1.8392857142857142,3.5097087378640777
73,2018-08,310.6,46,47,86,1.0217391304347827,1.8297872340425532,3.6116279069767443
73,2018-09,332.0,44,45,81,1.0227272727272727,1.8,4.098765432098766
73,2018-10,358.5,54,58,105,1.0740740740740742,1.8103448275862069,3.414285714285714
73,2018-11,252.5,40,40,75,1.0,1.875,3.3666666666666667
73,2018-12,332.3,46,49,92,1.065217391304348,1.8775510204081634,3.6119565217391307
73,2019-01,330.1,50,51,96,1.02,1.8823529411764706,3.438541666666667
73,2019-02,323.1,48,49,94,1.0208333333333333,1.9183673469387754,3.4372340425531918
73,2019-03,299.2,46,47,85,1.0217391304347827,1.8085106382978724,3.52
73,2019-04,367.0,56,57,108,1.0178571428571428,1.894736842105263,3.3981481481481484
73,2019-05,314.6,42,45,83,1.0714285714285714,1.8444444444444446,3.790361445783133
73,2019-06,322.8,48,51,94,1.0625,1.8431372549019607,3.4340425531914893
74,2018-07,206.0,42,45,60,1.0714285714285714,1.3333333333333333,3.433333333333333
74,2018-08,135.9,31,32,36,1.032258064516129,1.125,3.7750000000000004
74,2018-09,180.2,40,42,54,1.05,1.2857142857142858,3.337037037037037
74,2018-10,214.8,45,48,61,1.0666666666666667,1.2708333333333333,3.5213114754098362
74,2018-11,140.8,34,34,42,1.0,1.2352941176470589,3.3523809523809525
74,2018-12,200.2,43,44,56,1.0232558139534884,1.2727272727272727,3.5749999999999997
74,2019-01,179.8,38,39,50,1.0263157894736843,1.2820512820512822,3.596
74,2019-02,202.1,45,45,56,1.0,1.2444444444444445,3.6089285714285713
